property_id,district,property_type,total_price,condo_fee,area,bedroom_qnt,bathroom_qnt,parking_spaces_qnt,sq_m_price
2780828317,tucuruvi,2,312315.0,150.0,36.0,2.0,1.0,0.0,8675
2783009743,tucuruvi,2,280000.0,250.0,60.0,2.0,1.0,0.0,4667
2783005481,tucuruvi,2,330000.0,500.0,28.0,1.0,1.0,0.0,11786
2783010407,tucuruvi,1,380000.0,0.0,45.0,2.0,1.0,1.0,8444
2783009267,tucuruvi,1,340000.0,100.0,40.0,2.0,1.0,0.0,8500
2783005472,tucuruvi,1,320000.0,110.0,46.0,2.0,1.0,1.0,6957
2772433521,tucuruvi,2,414000.0,80.0,40.0,2.0,1.0,0.0,10350
2780853022,tucuruvi,1,480000.0,200.0,65.0,2.0,3.0,2.0,7385
2783006051,tucuruvi,2,220000.0,100.0,25.0,1.0,1.0,0.0,8800
2736328133,tucuruvi,2,750000.0,970.0,92.0,3.0,3.0,2.0,8152
2775610554,tucuruvi,2,305000.0,372.0,60.0,2.0,1.0,1.0,5083
2783001579,tucuruvi,2,345000.0,375.0,70.0,2.0,1.0,0.0,4929
2770954415,tucuruvi,2,279000.0,0.0,44.0,2.0,1.0,0.0,6341
2758721315,tucuruvi,2,332750.0,200.0,38.0,2.0,1.0,0.0,8757
2783002260,tucuruvi,1,290000.0,1.0,43.0,2.0,1.0,0.0,6744
2743921076,tucuruvi,2,400000.0,450.0,56.0,2.0,1.0,1.0,7143
2783006890,tucuruvi,2,299000.0,0.0,34.0,1.0,1.0,0.0,8794
2455876707,tucuruvi,2,320000.0,175.0,65.0,2.0,1.0,0.0,4923
2780689020,tucuruvi,2,427903.0,0.0,47.0,2.0,1.0,1.0,9104
2748930430,tucuruvi,2,350000.0,632.0,52.0,2.0,1.0,1.0,6731
2721974250,tucuruvi,1,899000.0,0.0,200.0,3.0,4.0,3.0,4495
2754611614,tucuruvi,2,280000.0,1.0,43.0,2.0,1.0,0.0,6512
2777598312,tucuruvi,2,380000.0,505.0,67.0,2.0,1.0,2.0,5672
2772110527,tucuruvi,2,429000.0,150.0,60.0,2.0,2.0,1.0,7150
2783003758,tucuruvi,1,590000.0,0.0,110.0,3.0,2.0,2.0,5364
2771110320,tucuruvi,2,300000.0,420.0,28.0,1.0,1.0,0.0,10714
2783012417,tucuruvi,2,280000.0,190.0,45.0,1.0,1.0,0.0,6222
2780297927,tucuruvi,2,405000.0,1000.0,55.0,2.0,1.0,1.0,7364
2777539023,tucuruvi,2,299900.0,50.0,36.0,2.0,1.0,0.0,8331
2781161922,tucuruvi,1,1100000.0,0.0,139.0,3.0,3.0,2.0,7914
2769600318,tucuruvi,2,378950.0,0.0,46.0,2.0,2.0,1.0,8238
2738230761,tucuruvi,2,429188.0,0.0,45.0,2.0,1.0,0.5,9538
2771155362,tucuruvi,2,370000.0,450.0,41.0,2.0,1.0,1.0,9024
2778926344,tucuruvi,2,420000.0,0.0,43.0,2.0,1.5,1.0,9767
2759674553,tucuruvi,2,292999.0,350.0,30.0,1.0,1.0,0.0,9767
2705580313,tucuruvi,2,907000.0,900.0,73.0,3.0,1.5,1.0,12425
2724317456,tucuruvi,1,699000.0,0.0,130.0,3.0,4.0,2.0,5377
2485817344,tucuruvi,2,636000.0,754.0,72.0,2.0,2.0,2.0,8833
2724572548,tucuruvi,1,530000.0,0.0,130.0,3.0,3.0,2.0,4077
2780788318,tucuruvi,2,299000.0,740.0,50.0,2.0,1.0,1.0,5980
2783011833,tucuruvi,1,205000.0,0.0,25.0,1.0,1.0,0.0,8200
2783008751,tucuruvi,1,275000.0,100.0,40.0,2.0,1.0,0.0,6875
2733068577,tucuruvi,1,650000.0,0.0,112.0,3.0,3.0,2.0,5804
2775552112,tucuruvi,2,540000.0,200.0,54.0,2.0,1.0,1.0,10000
2769722636,tucuruvi,2,380000.0,682.0,54.0,2.0,2.0,2.0,7037
2783010492,tucuruvi,2,320000.0,100.0,25.0,2.0,1.0,0.0,12800
2651434077,tucuruvi,1,680000.0,0.0,175.0,3.0,3.0,2.0,3886
72928806,tucuruvi,1,520000.0,190.0,75.0,3.0,2.0,0.0,6933
2780550857,tucuruvi,1,700000.0,0.0,92.0,3.0,4.0,2.0,7609
2733090315,tucuruvi,2,326500.0,390.0,42.0,2.0,1.0,1.0,7774
2703444699,tucuruvi,2,360000.0,520.0,50.0,2.0,1.0,2.0,7200
2758319213,tucuruvi,2,1080000.0,1694.0,122.0,3.0,4.0,3.0,8852
2743811362,tucuruvi,1,990000.0,0.0,192.0,3.0,4.0,5.0,5156
2780550857,tucuruvi,1,700000.0,0.0,92.0,3.0,4.0,2.0,7609
2733090315,tucuruvi,2,326500.0,390.0,42.0,2.0,1.0,1.0,7774
2783003766,tucuruvi,2,285000.0,1.0,38.0,2.0,1.0,1.0,7500
2779293746,tucuruvi,1,385000.0,0.0,136.0,2.0,2.0,1.0,2831
2774677731,tucuruvi,2,371000.0,150.0,40.0,1.0,1.0,0.0,9275
2758721220,tucuruvi,2,336400.0,200.0,38.0,2.0,1.0,0.0,8853
2783008879,tucuruvi,1,700000.0,0.0,112.0,3.0,3.0,3.0,6250
